               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12595,            0.027172,                   0,          0.00039755,              0.1215,          0.00026093,          4.8209e-05,             0.10883,            0.021507,                   0,              0.0946,              0.0006,              0.0006
                   1,             0.11215,            0.024798,                   0,          0.00067278,             0.20561,          0.00044136,          9.8428e-05,            0.095844,            0.018126,                   0,            0.088297,           0.0012974,           0.0012974
                   2,             0.10146,            0.021243,                   0,           0.0013268,             0.38318,           0.0011649,          0.00030544,            0.088555,            0.015927,                   0,            0.081992,           0.0019921,           0.0019921
                   3,            0.097317,            0.019522,                   0,           0.0085765,            0.037383,           0.0080762,           0.0022418,             0.08374,            0.014636,                   0,            0.075684,            0.002684,            0.002684
                   4,             0.09447,            0.018657,                   0,           0.0020489,             0.62617,           0.0076991,           0.0017564,            0.080361,            0.013515,                   0,            0.069373,           0.0033731,           0.0033731
                   5,            0.088164,            0.018724,                   0,           0.0030887,             0.94393,            0.038788,           0.0080449,            0.072767,            0.012474,                   0,            0.063059,           0.0040594,           0.0040594
                   6,            0.082831,            0.016175,                   0,             0.10697,            0.074766,            0.065358,            0.015474,            0.078178,            0.010509,                   0,            0.056743,            0.004743,            0.004743
                   7,            0.081973,             0.01463,                   0,           0.0032584,             0.96262,             0.10587,            0.029445,            0.079699,           0.0099957,                   0,            0.050424,           0.0054238,           0.0054238
                   8,            0.081597,            0.014461,                   0,           0.0032416,             0.99065,            0.084835,             0.01967,            0.062969,            0.011144,                   0,            0.044102,           0.0061018,           0.0061018
                   9,            0.075784,            0.015184,                   0,            0.003211,             0.98131,            0.044679,            0.010408,            0.066298,             0.01093,                   0,            0.037777,            0.006777,            0.006777
                  10,            0.074001,            0.015219,                   0,           0.0031804,             0.97196,            0.090593,            0.019293,            0.067083,           0.0099709,                   0,             0.03145,           0.0074495,           0.0074495
                  11,            0.075392,            0.013456,                   0,             0.62495,            0.031535,             0.34236,             0.09746,            0.065285,           0.0096188,                   0,            0.025119,           0.0081192,           0.0081192
                  12,            0.071253,            0.014899,                   0,             0.11615,            0.046729,            0.074158,            0.013802,            0.072813,           0.0092562,                   0,            0.018786,           0.0087862,           0.0087862
                  13,            0.068105,            0.016474,                   0,           0.0032416,             0.99065,              0.2194,            0.047264,            0.071932,           0.0088072,                   0,             0.01245,           0.0094503,           0.0094503
                  14,            0.073004,            0.013501,                   0,            0.003211,             0.98131,             0.13282,             0.02517,            0.073962,             0.00861,                   0,           0.0097228,           0.0097228,           0.0097228
