                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 5.7786,                 6.9312,                 2.4209,                0.00029,                0.00935,                0.00015,                  4e-05,                 4.9234,                 6.4371,                 2.0137,                 0.0946,                 0.0006,                 0.0006
                      1,                 5.2722,                 4.8698,                 2.3872,                 0.0139,                0.00935,                0.00344,                0.00083,                 4.7125,                 3.6315,                 1.6338,               0.088297,              0.0012974,              0.0012974
                      2,                 4.4371,                  2.925,                 1.5765,                0.18159,                0.14019,                0.09165,                0.01624,                 3.5141,                 3.0506,                   1.24,               0.081992,              0.0019921,              0.0019921
                      3,                 3.7039,                 2.4759,                 1.4105,                0.17804,                0.25234,                 0.0979,                0.01809,                 3.4413,                 2.7016,                 1.1757,               0.075684,               0.002684,               0.002684
                      4,                 3.3314,                 2.0988,                 1.2265,                0.15439,                0.29861,                 0.0859,                0.02085,                 3.1702,                 2.5138,                 1.0569,               0.069373,              0.0033731,              0.0033731
                      5,                 3.4289,                 2.0564,                 1.1295,                0.45302,                 0.6729,                0.47912,                0.13724,                 2.7708,                 2.3656,                0.99968,               0.063059,              0.0040594,              0.0040594
                      6,                 2.9105,                 2.1046,                 1.1165,                0.34763,                0.34579,                0.25005,                0.05728,                  2.909,                 2.0832,                0.98734,               0.056743,               0.004743,               0.004743
                      7,                 2.7649,                  1.681,                 1.0298,                0.18902,                0.19626,                0.10478,                0.02119,                 3.4039,                 2.0802,                 1.0012,               0.050424,              0.0054238,              0.0054238
                      8,                 2.7571,                 1.5993,                 1.0528,                0.39085,                0.60567,                0.41848,                0.11105,                 2.6566,                 1.6772,                0.98327,               0.044102,              0.0061018,              0.0061018
                      9,                 2.4335,                 1.3911,                0.98685,                0.17225,                0.27103,                0.10355,                0.02001,                 3.9522,                 2.4554,                 1.0558,               0.037777,               0.006777,               0.006777
