                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 5.1786,                  6.029,                 2.2049,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                 0.0946,                 0.0006,                 0.0006
                      1,                 5.5465,                 5.3379,                 2.1088,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.088297,              0.0012974,              0.0012974
                      2,                 4.5855,                 4.5355,                 1.5969,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.081992,              0.0019921,              0.0019921
                      3,                 3.9968,                 4.1569,                 1.4182,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.075684,               0.002684,               0.002684
                      4,                 3.5173,                 3.9752,                 1.2575,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.069373,              0.0033731,              0.0033731
                      5,                 3.2512,                 3.7715,                 1.2844,                0.02283,                0.04673,                0.01221,                0.00313,                    nan,                    nan,                    nan,               0.063059,              0.0040594,              0.0040594
                      6,                 3.4302,                  3.549,                 1.1737,                0.01026,                0.05607,                0.00592,                0.00144,                    nan,                    nan,                    nan,               0.056743,               0.004743,               0.004743
                      7,                 3.4165,                 3.1304,                 1.2261,                 0.0082,                0.06542,                0.00803,                0.00175,                    nan,                    nan,                    nan,               0.050424,              0.0054238,              0.0054238
                      8,                  3.244,                 2.8469,                 1.1728,                0.00598,                0.05607,                0.01639,                0.00405,                    nan,                    nan,                    nan,               0.044102,              0.0061018,              0.0061018
                      9,                 3.4423,                 2.5282,                 1.0815,                0.18497,                0.01869,                0.00678,                0.00098,                    nan,                    nan,                    nan,               0.037777,               0.006777,               0.006777
                     10,                 3.2369,                 2.2241,                 1.0943,                0.20031,                0.02804,                0.02177,                0.00393,                    nan,                    nan,                    nan,                0.03145,              0.0074495,              0.0074495
                     11,                 3.5119,                 2.5691,                  1.288,                0.00335,                0.01869,                0.01066,                0.00223,                    nan,                    nan,                    nan,               0.025119,              0.0081192,              0.0081192
                     12,                 3.0884,                 2.2515,                 1.0327,                0.00681,                0.03738,                0.01081,                0.00398,                    nan,                    nan,                    nan,               0.018786,              0.0087862,              0.0087862
                     13,                 3.5034,                 2.3377,                 1.1147,                0.20004,                0.00935,                0.00586,                0.00098,                    nan,                    nan,                    nan,                0.01245,              0.0094503,              0.0094503
                     14,                 3.5324,                 2.2308,                 1.2458,                0.00369,                0.02804,                0.00378,                0.00162,                    nan,                    nan,                    nan,              0.0097228,              0.0097228,              0.0097228
                     15,                 3.6412,                 2.3786,                 1.2165,                0.00309,                0.02804,                0.00442,                0.00119,                    nan,                    nan,                    nan,              0.0097228,              0.0097228,              0.0097228
                     16,                 3.1995,                 2.2081,                 1.2828,                0.23909,                0.00935,                0.00723,                0.00105,                    nan,                    nan,                    nan,               0.009703,               0.009703,               0.009703
                     17,                 3.1299,                 2.2294,                 1.2439,                0.15702,                0.01869,                0.00519,                0.00061,                    nan,                    nan,                    nan,              0.0096832,              0.0096832,              0.0096832
                     18,                 3.0867,                 2.1111,                 1.1515,                0.34184,                0.02804,                0.02092,                0.00407,                    nan,                    nan,                    nan,              0.0096634,              0.0096634,              0.0096634
                     19,                 3.1162,                 2.1106,                 1.1728,                 0.0496,                0.00935,                0.00304,                0.00056,                    nan,                    nan,                    nan,              0.0096436,              0.0096436,              0.0096436
                     20,                 3.5471,                 2.2321,                 1.2025,                0.00462,                0.02804,                0.00803,                 0.0013,                    nan,                    nan,                    nan,              0.0096238,              0.0096238,              0.0096238
                     21,                 3.4373,                  2.173,                  1.118,                0.00125,                0.01869,                0.00074,                0.00011,                    nan,                    nan,                    nan,               0.009604,               0.009604,               0.009604
                     22,                 3.6012,                 2.1255,                 1.1379,                0.22512,                0.01869,                0.01266,                0.00264,                    nan,                    nan,                    nan,              0.0095842,              0.0095842,              0.0095842
                     23,                  3.235,                 2.0144,                 1.1751,                0.23058,                0.03738,                0.01863,                0.00245,                    nan,                    nan,                    nan,              0.0095644,              0.0095644,              0.0095644
                     24,                 3.2633,                 1.9807,                 1.0926,                0.18112,                0.02804,                0.01614,                0.00566,                    nan,                    nan,                    nan,              0.0095446,              0.0095446,              0.0095446
