                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 5.1786,                  6.029,                 2.2049,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                 0.0946,                 0.0006,                 0.0006
                      1,                 5.5513,                 5.3347,                 2.1093,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.088287,              0.0012871,              0.0012871
                      2,                 4.6113,                 4.5378,                 1.6018,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                0.08196,              0.0019604,              0.0019604
                      3,                 3.9878,                 4.1553,                 1.4161,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                0.07562,              0.0026198,              0.0026198
                      4,                 3.5319,                 3.9583,                 1.2886,                0.00279,                0.00935,                0.00141,                0.00014,                    nan,                    nan,                    nan,               0.069265,              0.0032654,              0.0032654
                      5,                 3.5115,                 3.6991,                 1.3124,                0.00753,                0.03738,                0.00398,                0.00167,                    nan,                    nan,                    nan,               0.062897,               0.003897,               0.003897
                      6,                 3.3819,                 3.4365,                 1.1369,                0.00386,                0.03738,                0.00217,                0.00043,                    nan,                    nan,                    nan,               0.056515,              0.0045149,              0.0045149
                      7,                 3.3912,                  3.045,                 1.2043,                 0.0042,                0.05607,                0.00266,                0.00034,                    nan,                    nan,                    nan,               0.050119,              0.0051188,              0.0051188
                      8,                 3.3702,                 2.8286,                 1.1703,                0.00411,                0.05607,                0.00493,                0.00102,                    nan,                    nan,                    nan,               0.043709,               0.005709,               0.005709
                      9,                 3.5033,                 2.5938,                 1.1118,                0.00161,                0.01869,                0.00089,                0.00017,                    nan,                    nan,                    nan,               0.037285,              0.0062852,              0.0062852
                     10,                 3.2517,                 2.3059,                 1.0939,                0.00557,                0.05607,                0.02366,                0.00569,                    nan,                    nan,                    nan,               0.030848,              0.0068476,              0.0068476
                     11,                 3.4186,                 2.5404,                 1.3032,                0.00529,                0.03738,                0.00306,                0.00092,                    nan,                    nan,                    nan,               0.024396,              0.0073961,              0.0073961
                     12,                   3.28,                 2.5115,                 1.0754,                0.00417,                0.02804,                0.00392,                0.00162,                    nan,                    nan,                    nan,               0.017931,              0.0079308,              0.0079308
                     13,                 3.3551,                 2.4343,                 1.1258,                0.00417,                0.02804,                0.00392,                0.00162,                    nan,                    nan,                    nan,               0.011452,              0.0084516,              0.0084516
                     14,                 3.7978,                  2.566,                 1.3241,                0.00417,                0.02804,                0.00392,                0.00162,                    nan,                    nan,                    nan,               0.008614,               0.008614,               0.008614
                     15,                 3.7499,                 2.7873,                 1.2141,                0.00417,                0.02804,                0.00392,                0.00162,                    nan,                    nan,                    nan,               0.008614,               0.008614,               0.008614
                     16,                 3.4692,                 2.5609,                  1.407,                 0.0007,                0.00935,                0.00285,                0.00028,                    nan,                    nan,                    nan,               0.008515,               0.008515,               0.008515
                     17,                 3.2818,                 2.3805,                 1.3282,                0.30851,                0.01869,                0.01173,                0.00227,                    nan,                    nan,                    nan,               0.008416,               0.008416,               0.008416
                     18,                 3.2025,                 2.2925,                 1.1485,                0.45464,                0.00935,                0.00395,                0.00124,                    nan,                    nan,                    nan,               0.008317,               0.008317,               0.008317
                     19,                 3.1873,                 2.2441,                  1.206,                0.35899,                0.01869,                0.01242,                0.00315,                    nan,                    nan,                    nan,               0.008218,               0.008218,               0.008218
                     20,                 3.4056,                 2.0934,                 1.2223,                0.35842,                0.01869,                0.01178,                0.00309,                    nan,                    nan,                    nan,               0.008119,               0.008119,               0.008119
